Constant Name, Recommended Value
SeTrustedCredManAccessPrivilege,"No One"
SeNetworkLogonRight,"Administrators, Authenticated Users, ENTERPRISE DOMAIN CONTROLLERS"
SeTcbPrivilege,"No One"
SeMachineAccountPrivilege,"Administrators"
SeIncreaseQuotaPrivilege,"Administrators, LOCAL SERVICE, NETWORK SERVICE"
SeInteractiveLogonRight,"Administrators"
SeRemoteInteractiveLogonRight,"Administrators"
SeBackupPrivilege,"Administrators"
SeSystemtimePrivilege,"Administrators, LOCAL SERVICE"
SeTimeZonePrivilege,"Administrators, LOCAL SERVICE"
SeCreatePagefilePrivilege,"Administrators"
SeCreateTokenPrivilege,"No One"
SeCreateGlobalPrivilege,"Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE"
SeCreatePermanentPrivilege,"No One"
SeCreateSymbolicLinkPrivilege,"Administrators"
SeDebugPrivilege,"Administrators"
SeEnableDelegationPrivilege,"Administrators"
SeRemoteShutdownPrivilege,"Administrators"
SeAuditPrivilege,"LOCAL SERVICE, NETWORK SERVICE"
SeImpersonatePrivilege,"Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE"
SeIncreaseBasePriorityPrivilege,"Administrators, Window Manager \Window Manager Group"
SeLoadDriverPrivilege,"Administrators"
SeLockMemoryPrivilege,"No One"
SeSecurityPrivilege,"Administrators"
SeRelabelPrivilege,"No One"
SeSystemEnvironmentPrivilege,"Administrators"
SeManageVolumePrivilege,"Administrators"
SeProfileSingleProcessPrivilege,"Administrators"
SeSystemProfilePrivilege,"Administrators, NT SERVICE \WdiServiceHost"
SeAssignPrimaryTokenPrivilege,"LOCAL SERVICE, NETWORK SERVICE"
